permno,month,usdret,realizedvol,log_vol,debt_at,lnmcap,beta,Treated,Post,DiD
88373,2009-02,-0.0042,0.0429431510449182,-3.147878106715292,0.4187178,13.94244709223584,0.964421433545293,0,1,0
88373,2009-03,0.1023,0.0578999982673702,-2.8490379243277095,0.4187178,14.042459340195425,0.9570163140050416,0,1,0
88373,2009-04,0.1436,0.0524843023141205,-2.947241157635592,0.3973802,14.155742930690575,0.8858645248768883,0,1,0
88373,2009-05,-0.0355,0.0401087812756561,-3.2161599842128776,0.3973802,14.128507061832144,0.8199500825972336,0,1,0
88373,2009-06,0.014,0.0229279387468575,-3.77539907944309,0.3973802,14.14243648032091,0.8204223700017761,0,1,0
89368,2006-01,0.0629,0.0080880211259745,-4.817371185252727,0.58523446,14.33555149004529,0.3897359357160202,1,0,0
89368,2006-02,0.0806,0.0091159272967445,-4.697732142976652,0.58523446,14.41309735542166,0.3815234367644174,1,0,0
89368,2006-03,0.0458,0.0111431753182794,-4.496928047550961,0.58523446,14.453294716121723,0.3845532676312198,1,0,0
89368,2006-04,-0.0245,0.0106061130772864,-4.546324738690393,0.59342843,14.428488432004054,0.387773433657402,1,0,0
89368,2006-05,-0.0932,0.0131790574212645,-4.3291262683024465,0.59342843,14.33099308948351,0.4337591480558163,1,0,0
89368,2006-06,0.0121,0.0156611396267669,-4.156572817965979,0.59342843,14.328133493597203,0.4322552799541576,1,0,0
89368,2006-07,0.0335,0.0069674667366493,-4.9665035726921465,0.59903586,14.3610895812805,0.4211538720609148,1,0,0
89368,2006-08,0.0075,0.0022769324234306,-6.084926170237023,0.59903586,14.368982137421543,0.4203100698153273,1,0,0
89368,2006-09,0.0028,0.0011705605944431,-6.750272504373994,0.59903586,14.371728637362784,0.421003562468974,1,0,0
89379,2006-01,0.0161,0.0115232046688182,-4.463392479342989,0.4862938,15.106890991761455,0.7589542947822819,0,0,0
89379,2006-02,0.0421,0.0081167614703206,-4.813824038068225,0.4862938,15.149540995894112,0.7541796595116512,0,0,0
89379,2006-03,0.0684,0.015706403387018,-4.153686790734034,0.4862938,15.211754247461585,0.7599200709266414,0,0,0
89379,2006-04,-0.0276,0.0091622324420218,-4.692665413612184,0.4692475,15.184160548675132,0.7631644683146795,0,0,0
89379,2006-05,-0.0572,0.0126739884305649,-4.368203540929192,0.4692475,15.126014351776208,0.7765879889410011,0,0,0
89379,2006-06,0.2226,0.0354990583152037,-3.3382491091848863,0.4692475,15.320078501069688,0.7256168332964295,0,0,0
89379,2006-07,0.0042,0.001929654162497,-6.250414482537926,0.4607753,15.325454906030124,0.7209434966568151,0,0,0
89379,2006-08,0.0038,0.0013991296094471,-6.571904943238979,0.4607753,15.329266013107384,0.7196674812380472,0,0,0
89379,2006-09,0.0083,0.0014043283429229,-6.5681961382393865,0.4607753,15.330650575460796,0.7199959305269543,0,0,0
89458,2006-01,0.035,0.0066260427143681,-5.016747528646476,0.37194607,10.73564421853346,0.0655613022566468,0,0,0
89458,2006-02,0.0509,0.0131633470936385,-4.330319047001121,0.37194607,10.77972849166548,0.0565317859994674,0,0,0
89458,2006-03,0.0298,0.0117408583526805,-4.444680353738623,0.37194607,10.792513967822094,0.0589328040356022,0,0,0
89458,2006-04,-0.0235,0.0111101777587223,-4.4998936755736,0.36411923,10.762514359121845,0.0644293919673851,0,0,0
89458,2006-05,-0.0174,0.0154514711702373,-4.170051058797068,0.36411923,10.735137622326796,0.0818551269695914,0,0,0
89458,2006-06,0.0016,0.0146265220205539,-4.224918821497638,0.36411923,10.730968054090072,0.0839291698392901,0,0,0
89458,2006-07,-0.0082,0.0105075489404923,-4.555661333423491,0.40585744,10.716942578735567,0.0905885152855957,0,0,0
89458,2006-08,0.0072,0.008085669005396,-4.817662042883358,0.40585744,10.707769484471234,0.0904844896222597,0,0,0
89458,2006-09,0.0397,0.0088272537833271,-4.729911322555582,0.40585744,10.74107376429758,0.0865721681512836,0,0,0
89458,2006-10,0.0534,0.0110712895850373,-4.50340004536648,0.4135571,10.7877177955586,0.0964603837065589,0,0,0
89458,2006-11,0.0796,0.0084780038539516,-4.770280251469157,0.4135571,10.85246810223294,0.1024608369456106,0,0,0
89458,2006-12,0.0147,0.0124545004779502,-4.385673237218376,0.4135571,10.862118358065102,0.1022630712379371,0,0,0
89458,2007-01,-0.0094,0.0111250547715978,-4.498555527652263,0.4152256,10.847607825350687,0.1022791444578999,0,0,0
89458,2007-02,0.0708,0.0120574042872501,-4.41807634407877,0.4152256,10.911308602255874,0.0905420173954768,0,0,0
89458,2007-03,0.0093,0.0141445708006358,-4.258424417521352,0.4152256,10.915230635925912,0.0909961052277539,0,0,0
89458,2007-04,-0.0283,0.0121602113187143,-4.409586024411373,0.43982887,10.904275670638274,0.0887724278825403,0,0,0
89458,2007-05,-0.0116,0.0090755406275228,-4.702172327324891,0.43982887,10.889072977011326,0.0883864947810309,0,0,0
89458,2007-06,0.0516,0.0178143802992868,-4.0277492658626874,0.43982887,10.934668250284238,0.0763596008639473,0,0,0
89458,2007-07,-0.0444,0.0175259607172304,-4.044072027750602,0.47680524,10.884276804747833,0.1079834241612017,0,0,0
89458,2007-08,-0.0143,0.0256363964257001,-3.6637422018265413,0.47680524,10.862046656422129,0.1192650680094168,0,0,0
89458,2007-09,-0.0251,0.0136162796187126,-4.296489171322571,0.47680524,10.831435830409344,0.0666678093409771,0,0,0
